"unique_ID","boot","S","sPIE","s_N","s_Hill","s_asym","Nind","biomass","shrimp_bio","flounder_bio","tempS","tempB","salS","salB"
"2219 _ b","1",52,6.53363035187367,54.4131521780751,204.23741876325,55.5697965012496,2801,111.22,11.706,1.996,22.912,22.696,"30.467","32.3656"
"2269 _ b","1",40,13.35836400818,44.323961344929,89.7131415375664,44.3240093240093,572,476.465,12.253,1.137,25.022,24.628,"31.5096","33.3466"
"2319 _ b","1",41,5.4576354779258,41.8343419693772,178.492995389933,44.1654302670623,3370,150.185,3.24,0,24.894,23.978,"32.5864","33.5718"
"2318 _ b","1",47,5.23685729218419,41.514934485326,338.244030810352,70.9969530773918,8205,321.092,13.981,0.293,26.106,25.216,"34.6392","34.753"
"2771 _ b","1",55,8.50642497400239,63.1742827293112,196.34895621097,65.9941262848752,2043,179.408,0.066,0.394,24.986,24.042,"35.602","35.5342"
"2721 _ b","1",51,4.58969588801658,54.9852609082274,233.228055267693,62.0961660329531,3156,363.367,0.211,0.364,25.642,25.064,"35.2812","35.4446"
"2670 _ b","1",55,3.72320224681838,56.9018126569284,283.817638250539,64.5598360655738,3965,672.019,0.393,0.392,24.122,22.9,"34.7518","34.941"
"2620 _ b","1",62,4.70489456245326,52.6808728581242,432.821843107695,71.124179962744,12347,552.112,8.168,1.698,25.502,25.124,"34.6018","35.4236"
"2569 _ b","1",56,5.26649164464919,53.9532691082569,307.276906275214,61.7487957181088,5605,271.263,1.352,0.903,25.086,24.066,"34.3682","34.3696"
"2519 _ b","1",57,10.9634639160586,50.9044188823889,357.51004833656,66.1238774944568,9020,496.629,18.649,0.543,24.812,24.108,"33.6574","34.0996"
"2419 _ b","1",57,5.72322661517733,55.5357712192122,325.54380396503,78.4956378441256,5158,400.665,7.785,0.33,24.244,23.686,"33.3794","34.007"
"2169 _ b","1",51,8.95111367699643,51.012242055434,217.634134443076,51.3885103419036,3669,236.804,29.413,0,23.96,23.432,"28.2628","31.8174"
"2170 _ b","1",49,4.05763791670485,61.6705964556655,177.498833346589,64.3231441048035,1603,186.711,8.632,0.773,24.792,24.504,"32.3604","33.5904"
"2120 _ b","1",45,6.43467877879753,61.8132827837426,148.259459413214,62.7321258341277,1049,62.638,0.783,0.385,24.252,23.564,"32.1914","33.2934"
"1246 _ b","1",49,3.21185933610387,36.857951291129,601.225852392013,72.4993309484148,36619,3016.309,10.206,2.217,20.888,19.87,"32.653","34.0172"
"1340 _ b","1",62,3.53199766210677,48.5526716550579,530.323586729012,96.9976987982613,15644,1047.271,8.493,4.457,24.066,23.648,"35.6778","35.8758"
"1294 _ b","1",58,6.37334999375488,56.9824210693147,265.958261287193,64.998403512273,5011,589.673,0.254,3.527,22.72,21.35,"33.906","34.7906"
"1777 _ c","1",55,1.87419856239051,43.4288546004768,486.468399550187,77.9983449417282,14501,1232.748,17.534,1.514,21.872,21.528,"32.4962","33.0442"
"1778 _ c","1",55,2.74302372764936,54.2978675532262,313.583536027588,76.4954100367197,4902,102.751,8.639,0.772,23.618,23.642,"32.0602","33.1376"
"1536 _ c","1",55,3.20247571771681,48.4402210274969,391.574217988988,70.3311702644241,7551,614.377,0.611,0.36,22.504,22.372,"34.9584","35.0992"
"1586 _ c","1",NA,10.8255941594647,60.4130923293551,217.535507780385,66.0955693885024,2731,225.545,1.158,4.378,22.948,20.8625,"33.2574","34.16125"
"1534 _ c","1",55,2.23258973758232,45.6830803280368,428.710177566422,96.2461468308254,10965,2770.633,4.239,1.673,23.326,22.784,"33.3684","34.1602"
"1532 _ c","1",42,4.34242761158324,41.9377349779311,160.754513083401,43.2493679775281,3560,806.368,0.539,1.684,23.262,22,"34.2304","34.4446"
"1582 _ c","1",51,8.29648906337633,53.074467521179,187.075120224712,53.4985614467735,2433,160.563,1.27,0.455,22.852,21.782,"34.239","34.4414"
"1630 _ c","1",50,4.97660081101471,63.9977913273993,158.761942294302,65.887,1300,269.843,0.121,1.022,23.322,22.656,"33.9484","34.1538"
"1680 _ c","1",54,6.88203419582355,58.0621833269167,273.624931962402,75.4937793751728,3617,155.027,14.55,0,22.562,22.21,"32.9232","33.9514"
"1730 _ c","1",35,2.72563431291815,39.7483383628902,129.531958416188,39.7807006684823,1154,93.4,8.153,0,26.986,26.322,"34.2118","35.0212"
"1486 _ c","1",59,6.93092905921423,50.749605642987,421.421410546859,74.8980959891843,8876,544.71,13.26,0.847,20.124,19.678,"33.7932","34.745"
"1340 _ c","1",65,9.30506224173231,60.6852864611638,332.267683371709,67.0620868186724,7412,363.997,21.322,3.826,23.22,22.796,"34.0348","34.333"
"1246 _ c","1",57,5.34825204791482,42.6908407943105,548.03166554123,66.2850852285138,16351,1031.569,5.18,1.902,20.314,20.156,"33.7176","34.4732"
"1294 _ c","1",57,6.09218840903614,56.8814411704626,288.444443019825,63.1412941544233,4570,293.993,3.019,2.952,22.1,22.074,"32.9242","34.0158"
