"","event","year","rasterID","S","biomass","yrcat"
"225",1990179,1990,2269,14,18.689,"a"
"226",1990181,1990,2269,12,14.716,"a"
"227",1990183,1990,2120,7,3.388,"a"
"228",1990185,1990,2120,9,19.436,"a"
"229",1990187,1990,2120,7,8.572,"a"
"230",1990189,1990,2120,22,124.619,"a"
"231",1990199,1990,1924,20,934.848,"a"
"232",1990203,1990,1875,12,2276.286,"a"
"233",1990207,1990,1876,31,94.442,"a"
"234",1990209,1990,1826,31,60.543,"a"
"235",1990211,1990,2169,29,22.692,"a"
"236",1990213,1990,2169,24,21.146,"a"
"237",1990215,1990,2170,20,50.54,"a"
"238",1990217,1990,2120,14,42.947,"a"
"239",1990219,1990,2120,20,26.244,"a"
"240",1990221,1990,2120,32,41.489,"a"
"241",1990223,1990,2120,23,44.221,"a"
"242",1990225,1990,2021,23,36.618,"a"
"243",1990227,1990,2022,28,36.141,"a"
"244",1990229,1990,1972,29,379.19,"a"
"245",1990231,1990,1973,15,8.825,"a"
"246",1990233,1990,1923,30,21.627,"a"
"247",1990235,1990,1923,30,22.827,"a"
"248",1990237,1990,1924,12,2.984,"a"
"249",1990241,1990,1924,20,101.515,"a"
"250",1990243,1990,1875,27,87.689,"a"
"251",1990245,1990,1875,24,20.58,"a"
"252",1990247,1990,1876,23,20.693,"a"
"253",1990249,1990,1826,32,18.617,"a"
"254",1990251,1990,1777,31,187.576,"a"
"255",1990253,1990,1777,30,53.921,"a"
"256",1990255,1990,1778,30,199.32,"a"
"257",1990257,1990,1778,22,13.983,"a"
"258",1990259,1990,1779,16,59.049,"a"
"259",1990261,1990,1779,35,105.302,"a"
"260",1990263,1990,1730,17,12.744,"a"
"261",1990265,1990,1730,12,8.92,"a"
"262",1990267,1990,1730,12,14.251,"a"
"263",1990269,1990,1730,25,26.219,"a"
"264",1990271,1990,1680,22,221.968,"a"
"265",1990273,1990,1680,15,18.639,"a"
"266",1990275,1990,1680,18,20.249,"a"
"267",1990277,1990,1680,19,22.497,"a"
"268",1990279,1990,1680,28,27.214,"a"
"269",1990281,1990,1680,37,164.442,"a"
"270",1990283,1990,1680,34,24.411,"a"
"271",1990285,1990,1630,28,13.757,"a"
"272",1990287,1990,1631,26,56.564,"a"
"273",1990289,1990,1582,23,3.453,"a"
"274",1990291,1990,1582,20,9.018,"a"
"275",1990293,1990,1532,17,56.235,"a"
"276",1990295,1990,1533,26,36.084,"a"
"277",1990297,1990,1534,23,12.197,"a"
"278",1990299,1990,1534,24,17.803,"a"
"279",1990301,1990,1534,35,14.903,"a"
"280",1990303,1990,1586,25,30.138,"a"
"281",1990305,1990,1586,14,11.952,"a"
"282",1990307,1990,1586,12,11.269,"a"
"283",1990309,1990,1586,30,122.809,"a"
"284",1990311,1990,1536,32,80.723,"a"
"285",1990313,1990,1486,33,129.532,"a"
"286",1990315,1990,1486,31,140.462,"a"
"287",1990317,1990,1246,30,73.837,"a"
"288",1990319,1990,1246,32,113.497,"a"
"289",1990321,1990,1295,35,105.308,"a"
"290",1990323,1990,1294,44,100.042,"a"
"291",1990325,1990,1393,24,36.129,"a"
"292",1990327,1990,1342,30,24.398,"a"
"293",1990329,1990,1340,37,178.948,"a"
"294",1990331,1990,1388,36,348.032,"a"
"295",1990333,1990,2219,16,31.256,"a"
"296",1990335,1990,2269,9,35.474,"a"
"297",1990337,1990,2269,11,13.241,"a"
"298",1990339,1990,2269,12,8.349,"a"
"299",1990341,1990,2319,19,15.024,"a"
"300",1990343,1990,2318,23,58.391,"a"
"301",1990345,1990,2318,26,25.588,"a"
"302",1990347,1990,2419,37,70.384,"a"
"303",1990349,1990,2772,35,311.693,"a"
"304",1990351,1990,2771,31,95.11,"a"
"305",1990353,1990,2771,28,31.34,"a"
"306",1990355,1990,2721,17,27.831,"a"
"307",1990357,1990,2671,30,13.469,"a"
"308",1990359,1990,2670,26,80.823,"a"
"309",1990361,1990,2620,29,182.295,"a"
"310",1990363,1990,2569,21,9.695,"a"
"311",1990365,1990,2519,35,158.993,"a"
"312",1990371,1990,1586,10,9.769,"a"
"313",1990373,1990,1586,13,9.205,"a"
"314",1990375,1990,1586,16,10.442,"a"
"315",1990377,1990,1536,36,75.469,"a"
"316",1990379,1990,1486,51,154.228,"a"
"317",1990381,1990,1777,33,39.455,"a"
"318",1990383,1990,1777,30,16.96,"a"
"319",1990385,1990,1778,33,163.782,"a"
"320",1990387,1990,1778,25,8.753,"a"
"321",1990389,1990,1779,24,19.838,"a"
"322",1990393,1990,1487,42,52.848,"a"
"323",1990401,1990,1388,36,78.116,"a"
"324",1990405,1990,1246,36,89.123,"a"
"325",1990407,1990,1246,43,179.016,"a"
"326",1990411,1990,1295,44,279.208,"a"
"327",1990413,1990,1344,37,30.777,"a"
"328",1990419,1990,1342,42,60.077,"a"
"329",1990429,1990,1779,23,26.854,"a"
"330",1990431,1990,1730,15,5.704,"a"
"331",1990433,1990,1730,4,6.652,"a"
"332",1990435,1990,1730,33,34.917,"a"
"333",1990437,1990,1730,26,10.236,"a"
"334",1990439,1990,1680,33,9.707,"a"
"335",1990441,1990,1680,36,41.252,"a"
"336",1990443,1990,1680,33,25.272,"a"
"337",1990445,1990,1586,20,13.386,"a"
"338",1990449,1990,1535,38,58.928,"a"
"339",1990451,1990,1534,35,41.168,"a"
"340",1990453,1990,1534,36,65.569,"a"
"341",1990457,1990,1826,26,18.723,"a"
"342",1990459,1990,1876,29,12.136,"a"
"343",1990461,1990,1875,30,11.401,"a"
"344",1990463,1990,1875,29,11.136,"a"
"345",1990465,1990,1874,25,14.456,"a"
"346",1990471,1990,1923,32,16.367,"a"
"347",1990473,1990,2219,31,21.734,"a"
"348",1990475,1990,2269,27,16.774,"a"
"349",1990477,1990,2269,26,12,"a"
"350",1990479,1990,2269,31,29.578,"a"
"351",1990481,1990,2318,27,52.943,"a"
"352",1990483,1990,2318,26,15.653,"a"
"353",1990485,1990,2318,27,30.528,"a"
"354",1990487,1990,2771,17,81.759,"a"
"355",1990489,1990,2721,26,91.639,"a"
"356",1990491,1990,2671,5,0.787,"a"
"357",1990493,1990,2670,13,54.817,"a"
"358",1990495,1990,2620,13,23.671,"a"
"359",1990497,1990,2569,15,4.182,"a"
"360",1990499,1990,2519,19,22.708,"a"
"361",1990501,1990,2419,32,31.033,"a"
"362",1990503,1990,2169,37,38.063,"a"
"363",1990505,1990,2169,33,16.566,"a"
"364",1990507,1990,2170,31,27.851,"a"
"365",1990509,1990,2120,27,125.462,"a"
"366",1990511,1990,2120,26,22.174,"a"
"367",1990513,1990,2120,29,25.844,"a"
"368",1990515,1990,2120,30,14.746,"a"
"369",1990519,1990,1533,25,90.367,"a"
"370",1990521,1990,1532,28,39.295,"a"
"371",1990523,1990,1582,24,34.965,"a"
"372",1990525,1990,1582,30,31.794,"a"
"373",1990527,1990,1581,26,53.012,"a"
"374",1990529,1990,1630,39,44.997,"a"
"375",1990531,1990,1680,20,18.723,"a"
"376",1990533,1990,1680,31,39.955,"a"
"377",1990535,1990,1680,28,32.478,"a"
"378",1990537,1990,1680,38,58.844,"a"
"379",1990539,1990,2021,28,45.398,"a"
"380",1990541,1990,2022,19,29.179,"a"
"381",1990543,1990,1972,30,44.348,"a"
"382",1990545,1990,1973,30,10.082,"a"
"383",1990547,1990,1923,22,5.009,"a"
"384",1991001,1991,1586,34,246.226,"a"
"385",1991003,1991,1534,34,169.308,"a"
"386",1991005,1991,1534,35,282.303,"a"
"387",1991007,1991,1534,36,604.486,"a"
"388",1991009,1991,1533,32,207.366,"a"
"389",1991011,1991,1532,27,179.056,"a"
"390",1991013,1991,1582,23,205.078,"a"
"391",1991015,1991,1582,29,77.252,"a"
"392",1991017,1991,1581,12,131.635,"a"
"393",1991019,1991,1630,27,365.255,"a"
"394",1991021,1991,1680,26,73.182,"a"
"395",1991023,1991,1680,23,185.521,"a"
"396",1991025,1991,1680,18,64.194,"a"
"397",1991027,1991,1680,24,168.905,"a"
"398",1991029,1991,1680,26,382.787,"a"
"399",1991031,1991,1680,25,273.813,"a"
"400",1991033,1991,1680,30,118.307,"a"
"401",1991035,1991,1730,37,55.615,"a"
"402",1991037,1991,1730,14,3.972,"a"
"403",1991039,1991,1730,14,4.429,"a"
"404",1991041,1991,1826,22,294.176,"a"
"405",1991043,1991,1876,29,129.245,"a"
"406",1991049,1991,1875,23,134.152,"a"
"407",1991053,1991,2022,16,27.371,"a"
"408",1991055,1991,1972,19,13.557,"a"
"409",1991063,1991,1973,15,17.245,"a"
"410",1991065,1991,1923,18,6.045,"a"
"411",1991067,1991,1923,17,67.525,"a"
"412",1991069,1991,1924,16,11.109,"a"
"413",1991071,1991,1874,13,4.476,"a"
"414",1991073,1991,1924,18,9.446,"a"
"415",1991075,1991,1875,21,41.632,"a"
"416",1991079,1991,1777,24,54.622,"a"
"417",1991081,1991,1777,24,31.483,"a"
"418",1991083,1991,1778,35,74.865,"a"
"419",1991085,1991,1778,19,23.85,"a"
"420",1991087,1991,1779,21,42.754,"a"
"421",1991089,1991,1779,13,130.717,"a"
"422",1991091,1991,1730,10,5.965,"a"
"423",1991093,1991,1586,17,139.292,"a"
"424",1991095,1991,1586,26,85.397,"a"
"425",1991097,1991,1586,17,1089.121,"a"
"426",1991099,1991,1536,30,272.885,"a"
"427",1991101,1991,1486,26,346.154,"a"
"428",1991103,1991,1487,31,112.799,"a"
"429",1991105,1991,1388,37,70.162,"a"
"430",1991107,1991,1246,30,575.342,"a"
"431",1991109,1991,1246,27,194.406,"a"
"432",1991111,1991,1295,17,1085.355,"a"
"433",1991113,1991,1294,19,24.164,"a"
"434",1991117,1991,1342,26,432.219,"a"
"435",1991119,1991,1340,26,90.468,"a"
"436",1991121,1991,2120,27,12.939,"a"
"437",1991123,1991,2120,24,8.354,"a"
"438",1991125,1991,2120,30,298.376,"a"
"439",1991127,1991,2120,27,143.587,"a"
"440",1991129,1991,2170,24,24.964,"a"
"441",1991131,1991,2169,30,28.343,"a"
"442",1991133,1991,2169,34,67.205,"a"
"443",1991143,1991,2219,24,12.416,"a"
"444",1991145,1991,2269,24,31.528,"a"
"445",1991147,1991,2269,29,38.126,"a"
"446",1991149,1991,2269,22,15.111,"a"
"447",1991151,1991,2319,23,113.03,"a"
"448",1991153,1991,2318,25,117.821,"a"
"449",1991155,1991,2318,29,184.449,"a"
"450",1991157,1991,2670,18,327.069,"a"
"451",1991163,1991,2670,18,17.984,"a"
"452",1991165,1991,2721,27,144.832,"a"
"453",1991167,1991,2771,30,114.548,"a"
"454",1991169,1991,2771,25,130.597,"a"
"455",1991171,1991,2772,29,283.487,"a"
"456",1991173,1991,2620,29,281.703,"a"
"457",1991177,1991,2569,38,596.11,"a"
"458",1991181,1991,2519,28,393.264,"a"
"459",1991189,1991,2419,38,151.003,"a"
"460",1991209,1991,2021,19,6.9,"a"
"461",1991211,1991,1586,7,9.695,"a"
"462",1991213,1991,1586,15,21.619,"a"
"463",1991215,1991,1586,22,28.166,"a"
"464",1991217,1991,1536,35,145.495,"a"
"465",1991219,1991,1486,32,415.39,"a"
"466",1991221,1991,1487,30,109.075,"a"
"467",1991223,1991,1388,28,21.312,"a"
"468",1991225,1991,1246,24,24.652,"a"
"469",1991227,1991,1246,14,40.484,"a"
"470",1991229,1991,1295,22,10.172,"a"
"471",1991231,1991,1294,27,33.028,"a"
"472",1991235,1991,1342,32,173.2,"a"
"473",1991237,1991,1340,32,575.328,"a"
"474",1991239,1991,1586,14,3.7,"a"
"475",1991241,1991,1778,45,323.499,"a"
"476",1991243,1991,1777,42,164.506,"a"
"477",1991245,1991,1826,15,6.918,"a"
"478",1991247,1991,1826,29,62.341,"a"
"479",1991249,1991,1875,11,15.733,"a"
"480",1991251,1991,1875,18,41.176,"a"
"481",1991253,1991,1874,6,5.037,"a"
"482",1991255,1991,1874,10,22.613,"a"
"483",1991259,1991,1923,23,64.634,"a"
"484",1991261,1991,1923,15,18.371,"a"
"485",1991263,1991,2219,17,59.111,"a"
"486",1991265,1991,2269,23,14.985,"a"
"487",1991267,1991,2269,23,20.476,"a"
"488",1991269,1991,2269,23,16.658,"a"
"489",1991271,1991,2319,17,7.645,"a"
"490",1991273,1991,2318,26,35.125,"a"
"491",1991275,1991,2318,23,87.572,"a"
"492",1991277,1991,2419,31,225.881,"a"
"493",1991279,1991,2772,23,1101.17,"a"
"494",1991281,1991,2771,19,1024.606,"a"
"495",1991283,1991,2771,18,1497.413,"a"
"496",1991285,1991,2721,29,312.218,"a"
"497",1991287,1991,2671,32,269.689,"a"
"498",1991289,1991,2670,17,378.619,"a"
"499",1991291,1991,2620,32,104.516,"a"
"500",1991293,1991,2569,31,272.014,"a"
"501",1991295,1991,2519,35,125.545,"a"
"502",1991297,1991,1777,16,16.255,"a"
"503",1991299,1991,1778,13,12.907,"a"
"504",1991301,1991,1779,27,46.274,"a"
"505",1991303,1991,1779,25,292.836,"a"
"506",1991305,1991,1973,13,19.45,"a"
"507",1991307,1991,1972,20,30.703,"a"
"508",1991309,1991,2022,41,238.713,"a"
"509",1991311,1991,2021,26,117.085,"a"
"510",1991313,1991,2120,16,38.881,"a"
"511",1991315,1991,2120,23,25.94,"a"
"512",1991317,1991,2120,16,40.145,"a"
"513",1991319,1991,2169,26,23.983,"a"
"514",1991321,1991,2170,17,10.991,"a"
"515",1991323,1991,2170,12,6.206,"a"
"516",1991325,1991,2120,13,103.455,"a"
"517",1991327,1991,1680,22,9.53,"a"
"518",1991329,1991,1680,23,12.187,"a"
"519",1991331,1991,1680,16,11.075,"a"
"520",1991333,1991,1680,16,9.521,"a"
"521",1991335,1991,1680,24,167.148,"a"
"522",1991337,1991,1730,19,197.048,"a"
"523",1991339,1991,1730,17,10.695,"a"
"524",1991341,1991,1730,12,6.231,"a"
"525",1991343,1991,1730,6,7.101,"a"
"526",1991345,1991,1535,25,63.16,"a"
"527",1991347,1991,1534,36,189.846,"a"
"528",1991349,1991,1534,41,158.801,"a"
"529",1991351,1991,1533,28,61.552,"a"
"530",1991353,1991,1532,27,35.118,"a"
"531",1991355,1991,1582,24,11.367,"a"
"532",1991357,1991,1582,25,14.213,"a"
"533",1991359,1991,1581,26,74.612,"a"
"534",1991361,1991,1630,20,49.774,"a"
"535",1991363,1991,1680,13,85.115,"a"
"536",1991365,1991,1680,17,27.477,"a"
"537",1991367,1991,1826,26,38.569,"a"
"538",1991369,1991,1876,30,24.562,"a"
"539",1991371,1991,1875,26,10.09,"a"
"540",1991373,1991,1875,29,67.85,"a"
"541",1991375,1991,1874,26,71.198,"a"
"542",1991377,1991,2219,25,81.429,"a"
"543",1991379,1991,2269,26,12.292,"a"
"544",1991381,1991,1777,25,31.62,"a"
"545",1991383,1991,1777,30,42.232,"a"
"546",1991385,1991,1778,25,160.458,"a"
"547",1991387,1991,1778,26,22.389,"a"
"548",1991389,1991,1779,27,23.75,"a"
"549",1991391,1991,1680,22,17.396,"a"
"550",1991393,1991,1680,15,27.073,"a"
"551",1991395,1991,1680,22,13.578,"a"
"552",1991397,1991,1680,36,26.678,"a"
"553",1991399,1991,1730,13,4.333,"a"
"554",1991401,1991,1730,15,4.693,"a"
"555",1991403,1991,1730,5,2.257,"a"
"556",1991405,1991,1730,10,2.438,"a"
"557",1991407,1991,1779,19,52.505,"a"
"558",1991413,1991,1586,12,7.028,"a"
"559",1991415,1991,1586,32,66.877,"a"
"560",1991417,1991,1586,43,162.508,"a"
"561",1991419,1991,1536,38,202.417,"a"
"562",1991421,1991,1486,35,505.059,"a"
"563",1991423,1991,1487,38,254.718,"a"
"564",1991425,1991,1246,35,120.957,"a"
"565",1991429,1991,1246,35,93.486,"a"
"566",1991433,1991,1295,41,369.506,"a"
"567",1991435,1991,1294,35,167.844,"a"
"568",1991437,1991,1342,40,104.643,"a"
"569",1991439,1991,1393,32,85.343,"a"
"570",1991441,1991,1340,27,522.473,"a"
"571",1991445,1991,1680,18,52.55,"a"
"572",1991447,1991,1680,32,102.328,"a"
"573",1991449,1991,1680,27,1148.397,"a"
"574",1991451,1991,1630,36,1973.66,"a"
"575",1991453,1991,1581,34,166.036,"a"
"576",1991455,1991,1586,12,791.094,"a"
"577",1991459,1991,1535,21,279.321,"a"
"578",1991461,1991,1534,20,57.712,"a"
"579",1991463,1991,1534,36,95.674,"a"
"580",1991469,1991,1533,32,40.878,"a"
"581",1991471,1991,1532,24,93.874,"a"
"582",1991473,1991,1582,32,215.682,"a"
"583",1991475,1991,1582,38,99.368,"a"
"584",1991479,1991,2022,21,22.132,"a"
"585",1991481,1991,2021,16,398.082,"a"
"586",1991483,1991,2120,23,46,"a"
"587",1991485,1991,2120,28,18.126,"a"
"588",1991487,1991,2120,27,147.006,"a"
"589",1991489,1991,2120,27,59.429,"a"
"590",1991491,1991,2170,17,23.009,"a"
"591",1991493,1991,2772,8,5.772,"a"
"592",1991495,1991,2771,9,83.107,"a"
"593",1991497,1991,2771,5,17.27,"a"
"594",1991499,1991,2721,27,36.51,"a"
"595",1991501,1991,2671,15,73.462,"a"
"596",1991503,1991,2670,23,10.251,"a"
"597",1991505,1991,2620,15,147.745,"a"
"598",1991507,1991,2569,34,80.74,"a"
"599",1991509,1991,2519,36,48.937,"a"
"600",1991511,1991,2419,36,87.387,"a"
"601",1991513,1991,2319,27,14.56,"a"
"602",1991515,1991,2318,23,11.828,"a"
"603",1991517,1991,2318,24,12.177,"a"
"604",1991519,1991,2269,31,15.28,"a"
"605",1991521,1991,2269,32,36.44,"a"
